County,Social Progress Index,Basic Human Needs,Foundations of Wellbeing,Opportunity,Nutrition and Basic Medical Care,Water and Sanitation,Shelter,Personal Safety,Access to Basic Knowledge,Access to Information and Communication,Health and Wellness,Environmental Quality,Personal Rights,Personal Freedom and Choice,Inclusiveness,Access to Advanced Education,"Infant mortality rate (deaths per 1,000 live births) ","Youth mortality rate (deaths per 1,000 pop.)",Lead exposure (% children under 6 exposed),"Vaccine-preventable diseases (prevalence per 10,000 pop.)",Supermarket access (% of low-income pop.),Contaminated drinking water (contaminant concentration over one compliance cycle),Water consumption (gallons/day/capita),Groundwater pollutants (sum of weighted site scores),Solid waste sites (sum of weighted site scores),"Salmonellosis prevalance (cases per 100,000)",Housing overcrowding (% of households),Housing cost burden (owners) (% of housing units),Housing cost burden (renters) (% of housing units),Outstanding Regional Housing Needs Allocation (RHNA) (% of construction permits),Homelessness (% of pop.),"Motor vehicle related deaths (per 100,000 pop.)","Property crime rate (per 100,000 pop.; five-year average) ","Homicide rate (per 100,000 pop.; five-year average)","Forcible rape (per 100,000 pop.; five-year average) ",Preschool enrollment (% of pop. ages 3-4),Third grade language arts proficiency (% of 3rd graders),Eighth grade math proficiency (% of 8th graders),Less than 9th grade education (% of pop. age 25+),Population without high school education (% of pop. ages 18-24 without high school diploma or equivalent),Broadband adoption rate (% of connections per housing units offered connection),Slow or no broadband service (% of households),Public library use (visits per capita),"Premature deaths (years of life lost before age 75 per 100,000 pop.; age-adjusted)",Poor mental health days (average days per month),Adult obesity (% of adult pop.),Diabetes prevalence (% of adults age 20+),"Drug overdose deaths (deaths per 100,000 pop.; age-adjusted)",Ozone concentration (average ppm),PM2.5 concentration (μg/m3),Traffic density (vehicles-km/hr/km),Carbon footprint (average CO2 emissions/household),Wildfire vulnerability (index of wildfire potential and social vulnerability),Voter registration (total registrations/eligible pop.),Voter turnout (total voters/eligible pop.),"Citizen complaints against peace officers (complaints/100,000)",Owner occupied homes (% of households),"Teen births (births per 1,000 female pop. ages 15-19)",Access to exercise opportunities (% of pop.),Child care deserts (% of pop.),Disconnected youth (% of pop. ages 16-24),Residential isolation (Non-white/white),Residential segregation (Non-white/white),"Hate crime rate (hate crimes/100,000) ","School bullying (allegations/100,000 students)",Female county supervisors (% of county supervisors),Linguistic isolation (% of households),College or graduate school enrollment (% of pop. age 15+),Associates degree holders (% of pop. age 25+),Bachelors degree holders (% of pop. age 25+),Advanced degree holders (% of pop. age 25+),,,,,NAME,Broadband.Adoption.Rate,CarbonFootprint,ForRapeClr_rate,HomicideClr_rate,PCT_LACCESS_LOWI15,PropertyClr_rate,RegistrationRate,TurnoutEligible,Visits.pc,bullying.rate,child.mort,complaint.rate,drinking_water_index,drug.od,gpcd,groundwater_threats,hatecrimerate,homelessness_rate,inf.mort,life_lost_rate,linguistic_isolation,ment_unhealthy_days,mv.deaths,ozone,pct_BLLgt4.5,pct_associates,pct_bachelors,pct_childcaredesert,pct_diabetic,pct_disconnected_youth,pct_enrolled,pct_exercise_access,pct_female,pct_graduate,pct_hburdenowner,pct_hburdenrenter,pct_homeownership,pct_hsincomplete,pct_lessthan9th,pct_met_and_above_m,pct_met_and_above_r,pct_obsese,pct_overcrowded,pct_preschoolenroll,pct_rhna_outstanding,pm25,prev.vax,res_iso_wnw,res_seg_wnw,salmonella.rate,solid_waste_sites,teen_birth_rate,traffic,un.or.underserved,wildfire.vulnerability
Alameda,59.1,61.3,70.1,48.1,69.0,58.4,54.6,64.1,68.7,73.8,80.3,59.4,37.3,83.5,29.3,58.5,12.49,3.92,2.32,1.014554562,1.002539499,117.9154167,132.7445945,37.51875,1.594861111,15.45,7,29.21068596,48.89810511,62.93744334,345.419,3.84,260.7364316,3.522304348,16.05287138,55.80645973,49.40216667,40.36044643,6.659708256,10.27247619,82.2,5.005426802,4.874255576,4660,3.3,19,8,9.36,0.032563889,8.774793369,988.6267324,45.57673913,0.418322414,54.5321441,62.64,86.09395471,53.01052595,15,98,53.09560847,12,0.639197564,0.331517324,5.33868429,256.3591685,20,8.841367645,10.60275247,6.493970499,25.73298137,18.97530525,,,,,Alameda,82.2,-45.577,-16.053,-3.522,-1.688,-260.736,54.532,62.64,4.874,-256.359,-12.59,-37.786,-254.687,-9.444,-132.745,-30.467,-5.148,-345.419,-3.92,-4660,-0.088,-3.37,-3.84,-0.034,-2.32,0.067,0.254,-0.531,-8,-12,0.106,97,0.2,0.17,-0.292,-0.489,0.53,-0.103,-0.067,40.36,49.402,-19,-0.07,0.558,-0.629,-8.775,-1.015,-0.52,-0.332,-15.45,-1.595,-15,-914.334,-0.05,-0.441
Amador,49.9,56.3,40.6,54.4,40.5,51.4,70.1,68.8,27.2,32.6,57.9,52.9,68.2,56.3,60.2,37.9,,,1.7,0.982862453,3.571358572,552.5577778,94.61576967,20.05,7.144444444,12.88333333,2,26.82904496,53.7377451,52.43902439,235.887,5.03,451.4019193,1.072213585,11.25824264,37.08737864,40.11,13.14142857,2.977238974,22.38749047,65,16.08108108,1.882512196,6214,3.6,25,9,18.12,0.053666667,6.648282874,228.0344444,45.157,0.922526261,60.08952983,66.38,18.76373774,76.98977793,19,88,61.90157079,30,0.20385017,0.298957749,0,247.3206925,0,1.603816447,5.539394311,10.47905226,14.79984803,7.298034746,,,,,Alpine,57.5,-39.405,-5.222,-0.876,-11.794,-349.127,60.017,65.3,7.191,-12.729,-15.144,-7.292,-645.76,-8.027,-89.359,-6.687,0,-332.502,-7.098,-5542.083,-0.011,-4.23,-2.963,-0.055,-0.741,0.067,0.149,-0.376,-10,-17.833,0.083,97,0.2,0.107,-0.34,-0.428,0.734,-0.149,-0.023,54.864,37.093,-23,-0.03,0.564,-0.477,-4.907,-0.287,-0.261,-0.219,-7.987,-9.431,-11.05,-122.112,-0.088,-0.808
Butte,54.6,58.8,47.7,58.0,57.5,57.6,48.7,74.1,52.0,46.7,39.3,54.2,48.2,61.9,71.1,53.5,18.62,4.5,1.44,0.503240722,7.437892003,452.6335294,180.202171,10.88823529,2.264705882,16.48333333,3,27.8695618,58.262322,79.32692308,530.623,9.14,370.7700027,1.953758098,8.525489883,48.73708381,40.0502,29.81473684,4.10298935,8.479385252,70.9,10.77441077,2.740136852,7286,4.1,25,9,26.85,0.050215686,9.051369732,346.1590196,43.07444444,0.769489703,57.40274503,58.49,24.86601216,59.00634814,21,73,67.22082351,14,0.228966317,0.269473027,0.888071863,7.832284677,20,2.765546433,15.0992,10.15364794,17.68870187,8.933784728,,,,,Amador,65,-45.157,-11.258,-1.072,-3.571,-451.402,60.09,66.38,1.883,-247.321,-25.428,-18.764,-552.558,-18.12,-94.616,-20.05,0,-235.887,-7.098,-6214,-0.016,-3.6,-5.03,-0.054,-1.7,0.105,0.148,-0.619,-9,-23,0.055,88,0,0.073,-0.268,-0.537,0.734,-0.217,-0.03,23.19,40.11,-25,-0.02,0.371,-0.524,-6.648,-0.983,-0.204,-0.299,-12.883,-7.144,-19,-228.034,-0.161,-0.912
Calaveras,52.5,60.0,43.9,55.0,52.4,60.9,59.7,68.2,42.2,31.3,47.0,59.8,69.1,61.2,59.8,36.1,33.72,,1.06,0.443882194,2.747715664,381.023,147.9675453,6.975,13.645,14,2,36.51568444,51.79077557,44.94902688,237.477,7.12,179.7722884,4.438821937,11.09705484,39.9380805,40.89466667,37.31111111,3.337226277,17.7148847,61.2,13.12931885,1.340968107,7306,3.7,26,10,17.72,0.0536,6.257579791,214.443,39.76052632,0.89962202,65.59469117,66.42,19.97469871,78.21131821,15,76,47.69736112,22,0.105652023,0.253970363,2.219410968,610.14772,20,0.940180985,3.411937908,11.97664234,12.57226277,6.709489051,,,,,Butte,70.9,-43.074,-8.525,-1.954,-7.438,-370.77,57.403,58.49,2.74,-12.729,-18.62,-24.866,-452.634,-26.724,-180.202,-10.888,-0.888,-530.623,-4.5,-7286,-0.028,-4.1,-9.14,-0.05,-1.44,0.102,0.177,-0.672,-9,-14,0.117,73,0.2,0.089,-0.279,-0.562,0.59,-0.09,-0.041,29.815,40.05,-25,-0.03,0.487,-0.793,-9.051,-0.503,-0.229,-0.269,-16.483,-2.265,-21,-346.159,-0.108,-0.769
Colusa,48.4,61.3,42.8,43.3,63.3,38.9,60.7,94.6,30.1,46.0,38.5,62.6,31.7,52.9,77.9,26.9,,,0.78,0.775951705,2.951441934,454.85,141.0578704,29.86,8.08,14.52,8,26.80822827,41.44893112,74.9498998,279.343,,225.3363751,0.931142046,5.586852274,37.33974359,44.85444444,19.79888889,21.03782663,16.25124626,57.3,3.9445629,1.706876484,5747,3.9,27,10,,0.0464,7.239595602,117.466,44.02571429,0.782875603,40.21602495,54.53,32.5899716,64.15495956,33,70,34.62451697,19,0.122494412,0.09952246,0,15.30221882,40,18.54781302,6.97970312,9.475164705,11.28136798,4.441483455,,,,,Calaveras,61.2,-39.761,-11.097,-4.439,-2.748,-232.497,62.391,66.42,1.341,-393.226,-26.115,-19.975,-381.023,-17.72,-147.968,-6.975,-2.219,-237.477,-7.098,-7306,-0.011,-3.7,-7.12,-0.054,-1.06,0.111,0.126,-0.477,-10,-22,0.05,76,0.2,0.067,-0.34,-0.518,0.734,-0.177,-0.033,37.311,40.895,-26,-0.02,0.399,-0.477,-6.258,-0.444,-0.136,-0.254,-14,-9.431,-15,-214.443,-0.131,-0.9
Contra Costa,66.4,72.1,67.2,60.3,78.2,73.8,53.9,86.7,67.5,74.9,70.9,56.9,56.3,82.6,48.5,58.8,13.26,3.59,0.75,0.958162985,2.96851047,123.361256,114.2884209,15.78091787,1.246859903,12.75,5,31.14878076,50.66519837,69.87219982,143.013,4.01,235.5657048,2.242635346,6.051555695,55.90477895,49.9384,39.80620253,5.851535329,12.12503814,86.9,4.073286439,2.879635447,4703,3.4,24,9,10.25,0.036318841,8.009436165,855.1812808,52.45176471,0.444758739,54.06486556,64.71,21.44742533,65.50384115,14,89,44.17938235,13,0.501553347,0.336798398,1.868862788,195.2836179,60,7.35305067,8.606104498,8.251122362,25.87833645,14.85845982,,,,,Colusa,57.3,-44.026,-5.587,-0.931,-2.951,-232.497,41.369,54.53,1.707,-15.302,-18.571,-32.59,-454.85,-30.733,-141.058,-29.86,0,-279.343,-6.55,-5747,-0.154,-3.9,-10.613,-0.046,-0.78,0.095,0.113,-0.376,-10,-19,0.07,70,0.4,0.044,-0.268,-0.428,0.642,-0.163,-0.151,23.19,44.854,-27,-0.08,0.373,-0.749,-7.24,-0.776,-0.136,-0.134,-14.52,-8.08,-33,-122.112,-0.042,-0.783
Del Norte,45.4,47.3,47.3,41.8,37.9,62.5,66.4,31.7,29.3,58.8,41.3,70.0,54.4,34.3,73.0,22.5,32.21,5.94,2.2,0.364404927,14.00130966,291.2685714,112.1743827,19.49285714,3.75,,3,30.33689126,43.07024681,57.93991416,298.812,8.03,733.1827126,2.186429561,59.76240799,38.06179775,30.609,20.3075,5.271828666,15.33546326,70,2.105263158,1.75369871,8128,4.1,25,9,18.43,0.035428571,3.79964876,352.9942857,39.3975,0.918966401,52.17549741,54.4,7.288098535,61.92295776,50,78,62.90357846,31,0.245186095,0.133642656,3.644049268,39.70617431,20,2.288793603,6.215164116,8.767504119,8.726317957,5.709431631,,,,,Contra Costa,83.9,-49.383,-6.052,-2.243,-2.969,-235.566,54.065,64.71,2.88,-195.284,-13.26,-21.447,-254.687,-10.25,-114.288,-15.781,-1.869,-143.013,-3.59,-4703,-0.074,-3.4,-4.01,-0.036,-0.75,0.083,0.254,-0.442,-9,-13,0.086,89,0.6,0.149,-0.311,-0.507,0.655,-0.121,-0.059,39.806,49.938,-24,-0.05,0.559,-0.699,-8.009,-0.958,-0.502,-0.337,-12.75,-1.445,-14,-855.181,-0.042,-0.445
El Dorado,64.6,69.8,58.9,65.4,52.9,87.0,61.1,84.5,73.1,46.1,70.4,50.8,64.9,76.1,66.0,56.1,15.34,2.55,6.92,0.918844418,6.057005218,269.8511905,88.9290032,6.01547619,2.589285714,13.86666667,2,33.69138369,46.26301438,54.6728972,325.379,3.77,260.9518147,2.378185553,5.621165851,51.31887456,54.55395349,43.85424242,2.331555475,10.8094698,67.1,13.69202226,,5120,3.7,19,8,19.42,0.054809524,6.780551713,429.9461905,47.29857143,0.743369319,62.9457071,70.77,28.64632597,76.29986487,12,85,56.82512229,14,0.176471716,0.30052201,3.783477015,97.18763287,40,1.931154046,6.062451412,10.76583499,21.35539083,11.97794251,,,,,Del Norte,70,-39.403,-23.528,-2.186,-11.794,-630.544,52.175,54.4,1.754,-39.706,-26.115,-7.292,-291.269,-18.43,-112.174,-19.493,-3.644,-298.812,-5.94,-8128,-0.023,-4.1,-8.03,-0.035,-2.2,0.088,0.096,-0.629,-9,-23,0.062,78,0.2,0.057,-0.303,-0.431,0.619,-0.153,-0.053,23.19,35.634,-25,-0.03,0.381,-0.579,-4.907,-0.364,-0.245,-0.134,-17.17,-3.75,-41.8,-352.994,-0.042,-0.912
Fresno,41.4,52.3,39.4,34.5,49.3,57.4,49.8,52.9,31.4,44.9,41.9,40.6,25.2,38.0,44.3,33.4,18.48,7.03,3.73,0.60723578,4.161996053,703.1091457,160.131521,7.40201005,2.284924623,16.45,9,27.73607665,54.10405929,76.16594034,178.98,10.59,471.2561341,4.01393143,10.1068735,38.84263114,43.37609091,24.70991453,14.41942188,16.13896641,68.1,10.37461583,2.961747233,6961,3.9,27,10,13.57,0.063472362,15.19072074,413.3377157,42.97038462,0.767809198,45.02015199,50.05,31.69976616,53.01135761,41,79,74.52131295,19,0.414450024,0.25056907,1.955505055,68.57476898,0,14.77577369,9.903371485,8.373619987,13.31847046,6.798914512,,,,,El Dorado,67.1,-47.299,-5.621,-2.378,-6.057,-260.952,62.391,68.256,6.398,-97.188,-15.34,-28.646,-269.851,-19.42,-89.359,-6.687,-3.783,-325.379,-3.184,-5120,-0.019,-3.7,-3.77,-0.055,-6.92,0.108,0.214,-0.568,-8,-14,0.061,85,0.4,0.12,-0.337,-0.463,0.734,-0.108,-0.023,43.854,53.577,-19,-0.02,0.513,-0.547,-6.781,-0.919,-0.176,-0.301,-13.867,-2.589,-13,-429.946,-0.137,-0.743
Glenn,38.6,54.5,32.4,32.7,56.9,38.3,70.0,57.6,30.5,13.0,46.2,60.3,40.5,33.1,62.1,13.8,45.82,4.47,1.52,0.357973868,3.56795832,573.8266667,147.5220679,17.98333333,9.1,16.74,5,26.32774284,43.35232669,56.92307692,279.22,7.01,305.7096832,2.863790943,20.76248434,27.70562771,43.59285714,33.16352941,14.02353991,19.96,49.6,30.21978022,2.277823519,7336,4.1,27,8,16.28,0.047666667,8.592457642,166.6883333,42.83571429,0.746450849,45.94594595,52.74,16.10882406,57.60869565,34,49,67.45301593,20,0.193862009,0.164220081,3.579738679,14.82799526,20,14.76377953,5.688140893,7.374351537,10.14670609,2.839292687,,,,,Fresno,68.1,-42.97,-10.107,-4.014,-4.162,-471.256,45.02,50.197,2.962,-68.575,-18.48,-31.7,-680.713,-13.57,-160.132,-7.402,-1.956,-178.98,-6.172,-6961,-0.148,-3.9,-10.312,-0.061,-3.73,0.084,0.133,-0.745,-10,-19,0.099,79,0,0.068,-0.277,-0.541,0.53,-0.161,-0.144,24.71,43.376,-27,-0.09,0.388,-0.762,-12.467,-0.607,-0.414,-0.251,-16.45,-2.285,-41,-413.338,-0.104,-0.768
